[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,AC Transport Datafile
FILEOPENTIME,19082565.45,08/10/2022,8:45 am
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.5. Build 2,APPNAME
INFO,Cernox-1050,SAMPLE1_MATERIAL
INFO,SN-X180867,SAMPLE1_COMMENT
INFO,1,SAMPLE1_LEAD_SEPARATION
INFO,1,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1,SAMPLE2_LEAD_SEPARATION
INFO,1,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,19083705.795,4370,350.00955,0,0,0.0102198995029309,17,0.000570455729242511,,3.03709786234352E-7,,56.2579010944816,,0.0299515788237834,,,,,,,,,,0,5000,-75.3924300888781,,-73.4608503503067,,0.000167901441520811,,0.000570456576460367,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083725.85,4370,349.80105,0,0,0.0102198995029309,17,0.000570468202338818,,3.04477019207855E-7,,56.2591408730757,,0.0300272490568832,,,,,,,,,,0,5000,-75.87403020338,,-73.1822917724017,,0.000165530104811579,,0.000570469025776513,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083738.29,4374,349.4025,0,0,0.0102198995029309,17,0.000570554192191657,,3.04184889126513E-7,,56.2676879508185,,0.0299984750449928,,,,,,,,,,0,5000,-75.1528550102055,,-73.6354686697547,,0.000165618198373549,,0.000570555016381802,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083750.805,4374,349.0981,0,0,0.0102198995029309,17,0.000570762980178896,,3.01812563393554E-7,,56.2884407997293,,0.0297646041124677,,,,,,,,,,0,5000,-75.7587250645958,,-72.8468774921801,,0.000165406659686151,,0.000570763801964242,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083763.58,4374,348.81875,0,0,0.0102198995029309,17,0.00057102328186873,,2.99156988130497E-7,,56.3143141112613,,0.0295028186420884,,,,,,,,,,0,5000,-75.455496651151,,-73.9028614424756,,0.000165539171587125,,0.000571024104596102,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083777.815,4374,348.4858,0,0,0.0102198995029309,17,0.000571339133037546,,3.00194424235763E-7,,56.3457091464682,,0.0296052593132645,,,,,,,,,,0,5000,-75.5901291669302,,-74.0092552915388,,0.0001661581699544,,0.00057133996147101,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083789.335,4374,348.05995,0,0,0.0102198995029309,17,0.00057166918056831,,2.9731545203917E-7,,56.3785155670415,,0.0293214681096027,,,,,,,,,,0,5000,-76.0225505231262,,-73.6633103278242,,0.000165873800944017,,0.000571670005691931,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083801.18,4374,347.35255,0,0,0.0102198995029309,17,0.000572065266735631,,3.00550828309393E-7,,56.4178865621062,,0.0296407057142523,,,,,,,,,,0,5000,-76.4740042217588,,-73.3320995185711,,0.000165454987340588,,0.0005720660871294,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083814.935,4374,345.98375,0,0,0.0102198995029309,17,0.000572716713728573,,3.05027146108061E-7,,56.4826413794539,,0.0300824359353192,,,,,,,,,,0,5000,-75.3065197747279,,-73.1023732932354,,0.000166803339454709,,0.000572717546599741,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083828.155,4374,344.29185,0,0,0.0102198995029309,17,0.000573753862245105,,3.00032184884298E-7,,56.5857379165586,,0.0295902465759679,,,,,,,,,,0,5000,-75.5795447217998,,-73.1634956636995,,0.000165859307867174,,0.000573754684227061,,,,,,,,,,,,,,,,,,,,,,,,,,,
