[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, 9T mag, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Field(Oe),Field Status,TempA(K),TempB(K),TempC(K),TempD(K),Ramp1,Ramp2,Setpoint1,Setpoint2,Output1(%),Output2(%),Temp Status
3752033532.268000,,,299.996,0.000,52.603,4.194,0,0,300.000,300.000,39.550,0.000,4
3752033623.377000,,,300.005,0.000,52.617,4.194,0,0,300.000,300.000,39.430,0.000,4
3752033653.377000,,,299.987,0.000,52.622,4.194,0,0,300.000,300.000,39.770,0.000,4
3752033683.377000,,,300.005,0.000,52.627,4.195,0,0,300.000,300.000,39.800,0.000,4
3752042903.550000,,,300.000,0.000,53.373,4.202,0,0,300.000,300.000,39.270,0.000,4
3752042933.550000,,,299.961,0.000,53.374,4.202,0,0,300.000,300.000,39.710,0.000,4
3752042963.550000,,,299.810,0.000,53.375,4.203,0,0,300.000,300.000,45.610,99.200,4
3752042993.550000,,,300.341,306.417,53.378,4.203,0,0,300.000,300.000,39.680,5.270,4
3752043023.550000,,,300.158,299.348,53.385,4.203,0,0,300.000,300.000,31.180,4.340,4
3752043053.550000,,,299.632,300.284,53.398,4.201,0,0,300.000,300.000,39.090,8.540,4
3752043083.550000,,,300.066,300.122,53.414,4.201,0,0,300.000,300.000,42.160,2.700,4
3752043113.550000,,,300.294,299.976,53.431,4.202,0,0,300.000,300.000,33.240,3.660,4
3752043143.550000,,,299.733,300.068,53.448,4.203,0,0,300.000,300.000,36.310,2.440,4
3752043173.550000,,,299.874,299.884,53.466,4.202,0,0,300.000,300.000,43.360,3.220,4
3752043183.923000,,,300.092,299.226,53.471,4.202,0,0,300.000,300.000,42.190,8.390,4
3752043213.923000,,,300.330,299.653,53.488,4.202,0,0,300.000,300.000,32.360,18.590,4
3752043243.923000,,,299.840,300.012,53.507,4.202,0,0,300.000,300.000,33.100,13.210,4
3752043273.923000,,,299.850,299.520,53.528,4.202,0,0,300.000,300.000,39.460,24.830,4
3752043303.923000,,,300.295,300.097,53.552,4.202,0,0,300.000,300.000,33.640,24.570,4
3752043333.923000,,,300.002,299.926,53.577,4.284,0,0,300.000,300.000,29.810,25.160,4
3752043363.923000,,,299.740,299.928,53.613,4.335,0,0,300.000,300.000,36.880,26.610,4
3752043393.923000,,,300.175,299.982,53.673,4.358,0,0,300.000,300.000,35.750,27.260,4
3752043423.923000,,,300.147,299.996,53.755,4.372,0,0,300.000,300.000,29.330,27.310,4
3752043453.923000,,,299.745,300.035,53.851,4.382,0,0,300.000,300.000,34.190,26.930,4
3752043483.923000,,,300.024,300.033,53.955,4.390,0,0,300.000,300.000,37.070,26.050,4
3752043513.923000,,,300.235,300.008,54.063,4.399,0,0,300.000,300.000,30.410,25.900,4
3752043543.923000,,,299.838,300.006,54.173,4.405,0,0,300.000,300.000,31.660,25.740,4
3752043573.923000,,,299.875,300.000,54.282,4.409,0,0,300.000,300.000,37.250,25.710,4
3752043603.923000,,,300.233,299.996,54.392,4.416,0,0,300.000,300.000,32.670,25.790,4
3752043633.923000,,,299.973,300.000,54.500,4.419,0,0,300.000,300.000,30.140,25.760,4
3752043663.923000,,,299.791,299.997,54.605,4.423,0,0,300.000,300.000,36.250,25.760,4
3752043693.923000,,,300.153,299.998,54.708,4.428,0,0,300.000,300.000,34.780,25.870,4
3752043723.923000,,,300.104,299.998,54.808,4.433,0,0,300.000,300.000,29.870,25.920,4
3752043753.923000,,,299.783,300.000,54.904,4.436,0,0,300.000,300.000,34.400,25.950,4
3752043783.923000,,,300.033,299.996,54.998,4.439,0,0,300.000,300.000,36.430,25.950,4
3752043813.923000,,,300.185,299.999,55.089,4.442,0,0,300.000,300.000,30.910,25.980,4
3752043843.923000,,,299.850,299.998,55.177,4.445,0,0,300.000,300.000,32.470,26.110,1
3752043873.923000,,,299.911,299.999,55.263,4.448,0,0,300.000,300.000,36.910,26.030,1
3752043903.923000,,,300.195,299.997,55.345,4.451,0,0,300.000,300.000,32.670,25.980,1
3752043933.923000,,,299.960,299.999,55.424,4.456,0,0,300.000,300.000,31.020,26.110,1
3752043963.923000,,,299.832,299.998,55.502,4.458,0,0,300.000,300.000,36.220,26.130,1
3752043993.923000,,,300.141,299.998,55.577,4.460,0,0,300.000,300.000,34.600,26.190,1
3752044023.923000,,,300.069,299.999,55.650,4.464,0,0,300.000,300.000,30.880,26.160,1
3752044053.923000,,,299.817,299.997,55.721,4.468,0,0,300.000,300.000,34.660,26.240,1
3752044083.923000,,,300.040,299.998,55.789,4.471,0,0,300.000,300.000,36.190,26.270,1
3752044113.923000,,,300.147,299.999,55.856,4.473,0,0,300.000,300.000,31.550,26.290,1
3752044143.923000,,,299.864,299.998,55.921,4.477,0,0,300.000,300.000,33.210,26.320,1
3752044173.923000,,,299.941,299.997,55.983,4.478,0,0,300.000,300.000,36.610,26.320,1
3752044203.923000,,,300.163,299.998,56.045,4.480,0,0,300.000,300.000,32.960,26.400,1
3752044233.923000,,,299.954,299.997,56.103,4.481,0,0,300.000,300.000,31.990,26.370,1
3752044263.923000,,,299.867,299.998,56.161,4.483,0,0,300.000,300.000,36.250,26.350,1
3752044293.923000,,,300.124,300.001,56.217,4.486,0,0,300.000,300.000,34.660,26.430,1
3752044323.923000,,,300.046,299.999,56.270,4.487,0,0,300.000,300.000,31.600,26.400,1
3752044353.923000,,,299.853,300.001,56.324,4.489,0,0,300.000,300.000,35.010,26.400,1
3752044383.923000,,,300.045,300.001,56.375,4.492,0,0,300.000,300.000,35.810,26.430,1
3752044413.923000,,,300.112,299.999,56.425,4.493,0,0,300.000,300.000,32.220,26.510,1
3752044443.923000,,,299.884,299.998,56.473,4.494,0,0,300.000,300.000,33.700,26.450,1
3752044473.923000,,,299.962,299.999,56.520,4.496,0,0,300.000,300.000,36.310,26.450,1
3752044503.923000,,,300.130,299.997,56.566,4.496,0,0,300.000,300.000,33.270,26.560,1
3752044533.923000,,,299.950,299.998,56.612,4.498,0,0,300.000,300.000,32.810,26.510,1
3752044563.923000,,,299.903,299.997,56.656,4.499,0,0,300.000,300.000,36.020,26.510,1
3752044593.923000,,,300.102,299.999,56.698,4.501,0,0,300.000,300.000,34.540,26.530,1
3752044623.923000,,,300.028,299.999,56.740,4.504,0,0,300.000,300.000,32.500,26.530,1
3752044653.923000,,,299.885,299.997,56.781,4.506,0,0,300.000,300.000,35.190,26.560,1
3752044683.923000,,,300.047,299.998,56.821,4.505,0,0,300.000,300.000,35.510,26.610,1
3752044713.923000,,,300.083,300.000,56.861,4.506,0,0,300.000,300.000,32.640,26.560,1
3752044743.923000,,,299.904,299.997,56.899,4.508,0,0,300.000,300.000,34.220,26.690,1
3752044773.923000,,,299.980,299.998,56.937,4.509,0,0,300.000,300.000,36.130,26.610,1
3752044803.923000,,,300.106,300.000,56.976,4.512,0,0,300.000,300.000,33.500,26.640,1
3752044833.923000,,,299.950,299.998,57.012,4.513,0,0,300.000,300.000,33.410,26.690,1
3752044863.923000,,,299.929,300.001,57.049,4.513,0,0,300.000,300.000,35.900,26.670,1
3752044893.923000,,,300.089,299.999,57.084,4.516,0,0,300.000,300.000,34.540,26.590,1
3752044923.923000,,,300.013,300.000,57.119,4.518,0,0,300.000,300.000,32.870,26.750,1
3752044953.923000,,,299.904,300.000,57.154,4.519,0,0,300.000,300.000,35.300,26.720,1
3752044983.923000,,,300.045,299.998,57.187,4.520,0,0,300.000,300.000,35.390,26.690,1
3752045013.923000,,,300.062,300.000,57.221,4.522,0,0,300.000,300.000,33.010,26.720,1
3752045043.923000,,,299.918,300.001,57.253,4.523,0,0,300.000,300.000,34.480,26.800,1
3752045073.923000,,,299.990,300.000,57.286,4.526,0,0,300.000,300.000,35.870,26.770,1
3752045103.923000,,,300.084,300.000,57.318,4.527,0,0,300.000,300.000,33.700,26.750,1
3752045133.923000,,,299.959,299.999,57.349,4.528,0,0,300.000,300.000,33.670,26.800,1
3752045163.923000,,,299.942,299.999,57.381,4.531,0,0,300.000,300.000,35.900,26.850,1
3752045193.923000,,,300.077,299.998,57.412,4.532,0,0,300.000,300.000,34.510,26.800,1
3752045223.923000,,,300.007,299.998,57.442,4.536,0,0,300.000,300.000,33.330,26.800,1
3752045253.923000,,,299.923,299.998,57.472,4.534,0,0,300.000,300.000,35.390,26.800,1
3752045283.923000,,,300.042,300.001,57.501,4.538,0,0,300.000,300.000,35.300,26.800,1
3752045313.923000,,,300.048,300.000,57.531,4.539,0,0,300.000,300.000,33.360,26.800,1
3752045343.923000,,,299.926,299.998,57.559,4.540,0,0,300.000,300.000,34.690,26.910,1
3752045373.923000,,,299.995,299.997,57.588,4.541,0,0,300.000,300.000,35.780,26.830,1
3752045403.923000,,,300.071,300.000,57.616,4.542,0,0,300.000,300.000,33.900,26.830,1
