[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, 9T mag, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Field(Oe),Field Status,TempA(K),TempB(K),TempC(K),TempD(K),Ramp1,Ramp2,Setpoint1,Setpoint2,Output1(%),Output2(%),Temp Status,in plane position,out plane position
3785242350.240000,0,1,5.005,5.000,36.226,3.103,0,0,5.000,5.000,0.000,0.440,1,89.959037,-21.979648
3785242380.240000,0,1,6.537,6.505,36.221,3.103,1,1,300.000,300.000,0.070,0.840,2,89.951923,-21.979648
3785242410.240000,0,1,9.031,9.000,36.214,3.104,1,1,300.000,300.000,0.220,1.270,2,89.963870,-21.979648
3785242440.240000,0,1,11.523,11.466,36.205,3.105,1,1,300.000,300.000,0.330,2.070,2,89.967494,-21.979648
3785242470.240000,0,1,13.934,13.836,36.198,3.106,1,1,300.000,300.000,0.510,2.780,2,89.969641,-21.979648
3785242500.240000,0,1,16.423,16.332,36.191,3.105,1,1,300.000,300.000,0.720,3.540,2,89.973534,-21.979648
3785242530.240000,0,1,18.915,18.846,36.185,3.105,1,1,300.000,300.000,0.990,4.500,2,89.976487,-21.979648
3785242560.240000,0,1,21.551,21.339,36.180,3.102,1,1,300.000,300.000,1.080,5.790,2,89.978769,-21.979648
3785242590.240000,0,1,23.895,23.787,36.175,3.104,1,1,300.000,300.000,1.760,7.430,2,89.980916,-21.979648
3785242620.240000,0,1,26.388,26.263,36.171,3.104,1,1,300.000,300.000,2.240,9.220,2,89.983467,-21.979648
3785242650.240000,0,1,28.879,28.755,36.167,3.105,1,1,300.000,300.000,2.810,11.120,2,89.984809,-21.979648
3785242680.240000,0,1,31.284,31.162,36.162,3.105,1,1,300.000,300.000,3.420,13.210,2,89.986688,-21.979648
3785242710.240000,0,1,33.776,33.648,36.159,3.105,1,1,300.000,300.000,4.110,15.570,2,89.988031,-21.979648
3785242740.240000,0,1,36.262,36.125,36.157,3.104,1,1,300.000,300.000,4.860,18.140,2,89.989910,-21.979648
3785242770.240000,0,1,38.753,38.624,36.156,3.104,1,1,300.000,300.000,5.670,20.720,2,89.991520,-21.979648
3785242800.240000,0,1,41.248,41.091,36.155,3.104,1,1,300.000,300.000,6.460,23.530,2,89.992594,-21.979648
3785242830.240000,0,1,43.743,43.591,36.155,3.101,1,1,300.000,300.000,7.330,26.480,2,89.994205,-21.979648
3785242860.240000,0,1,46.233,46.079,36.156,3.103,1,1,300.000,300.000,8.190,29.470,2,89.995682,-21.979648
3785242890.240000,0,1,48.641,48.476,36.158,3.103,1,1,300.000,300.000,9.030,32.350,2,89.996353,-21.979648
3785242920.240000,0,1,51.131,50.979,36.157,3.103,1,1,300.000,300.000,9.940,34.930,2,89.997292,-21.979648
3785242950.240000,0,1,53.626,53.464,36.157,3.103,1,1,300.000,300.000,10.800,38.280,2,89.998232,-21.979648
3785242980.240000,0,1,56.117,55.951,36.158,3.102,1,1,300.000,300.000,11.680,41.460,2,89.999843,-21.979648
3785243010.240000,0,1,58.612,58.455,36.159,3.102,1,1,300.000,300.000,12.510,44.620,2,90.001051,-21.979648
3785243040.240000,0,1,61.102,60.941,36.163,3.101,1,1,300.000,300.000,13.400,47.610,2,90.002393,-21.979648
3785243070.240000,0,1,63.597,63.440,36.167,3.101,1,1,300.000,300.000,14.250,50.550,2,90.003735,-21.979648
3785243100.240000,0,1,66.003,65.841,36.171,3.101,1,1,300.000,300.000,15.030,53.500,2,90.004943,-21.979648
3785243130.240000,0,1,68.496,68.341,36.175,3.102,1,1,300.000,300.000,15.790,56.500,2,90.005480,-21.979648
3785243160.240000,0,1,70.990,70.827,36.180,3.102,1,1,300.000,300.000,16.650,59.700,2,90.006420,-21.979648
3785243190.240000,0,1,73.483,73.318,36.183,3.102,1,1,300.000,300.000,17.410,62.700,2,90.007359,-21.979648
3785243220.240000,0,1,75.975,75.832,36.186,3.102,1,1,300.000,300.000,18.140,65.560,2,90.008165,-21.979648
3785243250.240000,0,1,78.470,78.311,36.191,3.102,1,1,300.000,300.000,18.800,68.320,2,90.009507,-21.979648
3785243280.240000,0,1,80.959,80.792,36.197,3.102,1,1,300.000,300.000,19.580,71.390,2,90.010715,-21.979648
3785243310.240000,0,1,83.370,83.212,36.202,3.103,1,1,300.000,300.000,20.250,74.360,2,90.011789,-21.979648
3785243340.240000,0,1,85.858,85.722,36.209,3.103,1,1,300.000,300.000,20.880,77.020,2,90.012863,-21.979648
3785243370.240000,0,1,88.353,88.203,36.217,3.102,1,1,300.000,300.000,21.560,79.770,2,90.013802,-21.979648
3785243400.240000,0,1,90.847,90.682,36.223,3.103,1,1,300.000,300.000,22.210,82.810,2,90.014339,-21.979648
3785243430.240000,0,1,93.343,93.178,36.229,3.102,1,1,300.000,300.000,22.850,85.900,2,90.015010,-21.979648
3785243460.240000,0,1,95.833,95.691,36.235,3.103,1,1,300.000,300.000,23.470,88.270,2,90.016621,-21.979648
3785243490.240000,0,1,98.328,98.171,36.242,3.104,1,1,300.000,300.000,23.860,91.070,2,90.017695,-21.979648
3785243520.240000,0,1,100.731,100.573,36.249,3.105,1,1,300.000,300.000,24.590,93.960,2,90.018500,-21.979648
3785243550.240000,0,1,103.229,103.079,36.257,3.104,1,1,300.000,300.000,25.060,96.540,2,90.019440,-21.979648
3785243580.240000,0,1,105.720,105.581,36.266,3.104,1,1,300.000,300.000,25.640,99.050,2,90.019843,-21.979648
3785243610.240000,0,1,108.210,108.062,36.275,3.104,1,1,300.000,300.000,26.170,100.000,2,90.020916,-21.979648
3785243640.240000,0,1,110.706,110.407,36.284,3.104,1,1,300.000,300.000,26.730,100.000,2,90.021722,-21.979648
3785243670.240000,0,1,113.195,112.608,36.292,3.104,1,1,300.000,300.000,27.270,100.000,2,90.022393,-21.979648
3785243700.240000,0,1,115.687,114.727,36.299,3.105,1,1,300.000,300.000,27.820,100.000,2,90.022930,-21.979648
3785243730.240000,0,1,118.092,116.691,36.305,3.103,1,1,300.000,300.000,28.530,100.000,2,90.024272,-21.979648
3785243760.240000,0,1,120.585,118.693,36.313,3.104,1,1,300.000,300.000,29.140,100.000,2,90.025212,-21.979648
3785243790.240000,0,1,123.076,120.671,36.321,3.105,1,1,300.000,300.000,29.810,100.000,2,90.025749,-21.979648
3785243820.240000,0,1,125.568,122.608,36.329,3.104,1,1,300.000,300.000,30.410,100.000,2,90.026688,-21.979648
3785243850.240000,0,1,128.061,124.514,36.339,3.103,1,1,300.000,300.000,31.070,100.000,2,90.028299,-21.979648
3785243880.240000,0,1,130.551,126.396,36.348,3.103,1,1,300.000,300.000,31.800,100.000,2,90.029641,-21.979648
3785243910.240000,0,1,133.046,128.259,36.358,3.104,1,1,300.000,300.000,32.470,100.000,2,90.032057,-21.979648
3785243940.240000,0,1,135.451,130.043,36.368,3.104,1,1,300.000,300.000,33.100,100.000,2,90.032728,-21.979648
3785243970.240000,0,1,137.935,131.879,36.376,3.105,1,1,300.000,300.000,33.610,100.000,2,90.033802,-21.979648
3785244000.240000,0,1,140.427,133.709,36.383,3.104,1,1,300.000,300.000,34.480,100.000,2,90.034339,-21.979648
3785244030.240000,0,1,142.918,135.539,36.392,3.104,1,1,300.000,300.000,35.130,100.000,2,90.035547,-21.979648
3785244060.240000,0,1,145.402,137.368,36.401,3.105,1,1,300.000,300.000,35.810,100.000,2,90.036755,-21.979648
3785244090.240000,0,1,147.894,139.193,36.410,3.104,1,1,300.000,300.000,36.520,100.000,2,90.037426,-21.979648
3785244120.240000,0,1,150.384,141.012,36.420,3.105,1,1,300.000,300.000,37.190,100.000,2,90.039037,-21.979648
3785244150.240000,0,1,152.782,142.761,36.430,3.105,1,1,300.000,300.000,38.010,100.000,2,90.040514,-21.979648
3785244180.240000,0,1,155.277,144.568,36.441,3.104,1,1,300.000,300.000,38.810,100.000,2,90.041856,-21.979648
3785244210.240000,0,1,157.766,146.372,36.453,3.105,1,1,300.000,300.000,39.270,100.000,2,90.042527,-21.979648
3785244240.240000,0,1,160.250,148.174,36.462,3.106,1,1,300.000,300.000,40.020,100.000,2,90.043869,-21.979648
3785244270.240000,0,1,162.739,149.975,36.471,3.106,1,1,300.000,300.000,40.720,100.000,2,90.043467,-21.979648
3785244300.240000,0,1,165.233,151.774,36.480,3.106,1,1,300.000,300.000,41.350,100.000,2,90.044943,-21.979648
3785244330.240000,0,1,167.718,153.574,36.491,3.105,1,1,300.000,300.000,42.060,100.000,2,90.046017,-21.979648
3785244360.240000,0,1,170.123,155.314,36.503,3.106,1,1,300.000,300.000,42.740,100.000,2,90.046554,-21.979648
