[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, quantum design, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Temp(K),Temp Status,Field(Oe),Field Status,Chamber Status2
3809986218.700592,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986248.701271,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986278.701537,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986308.702242,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986338.702940,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986368.703355,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986398.703839,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986430.535341,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986460.536343,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986490.536716,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986520.537345,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986550.537531,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986580.537783,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986610.538641,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986640.539537,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986670.540111,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986700.540437,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986730.541101,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986760.541322,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986790.541828,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986820.542445,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986850.542913,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986880.543126,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986910.543167,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986940.543655,300.000000,Standby,0.000000,StablePersistent,Sealed
3809986970.544417,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987000.545186,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987030.545514,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987060.546203,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987090.546272,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987120.547188,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987150.548082,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987180.548931,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987210.549265,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987240.549943,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987270.550394,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987300.551084,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987330.551184,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987360.551279,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987390.552117,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987420.552424,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987450.552681,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987480.553136,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987510.554272,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987540.554282,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987570.554887,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987600.555866,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987630.556422,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987660.556478,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987690.556622,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987720.557344,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987750.557435,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987780.557695,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987810.558203,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987840.558479,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987870.558590,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987900.559026,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987930.559350,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987960.560118,300.000000,Standby,0.000000,StablePersistent,Sealed
3809987990.560529,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988020.561214,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988050.561304,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988080.561522,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988110.562205,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988140.562671,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988170.562763,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988200.562901,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988230.563874,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988260.564487,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988290.565127,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988320.565677,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988350.565949,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988380.566205,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988410.566801,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988440.567778,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988470.568096,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988500.568407,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988530.568968,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988560.569323,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988590.570311,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988620.570469,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988650.571128,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988680.571239,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988710.571425,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988740.572056,300.000000,Standby,0.000000,StablePersistent,Sealed
3809988770.572180,300.000000,Standby,0.000000,StablePersistent,Sealed
