电压量程	单位	low noise	reserve	单位2	low reserver	normal	reserve2	单位3	normal noise	high	Column5	normal noise		low reserver	normal noise	normal noise
1	V	0	1	V	1V	0	1	V	1V	0	1	1V		1V	1V	1V
500	mV	6	997.6311575	mV	1V	6	997.6311575	mV	1V	6	997.6311575	1V		1V	1V	1V
200	mV	4	316.9786385	mV	0.3V	14	1002.374467	mV	1V	14	1002.374467	1V		0.3V	1V	1V
100	mV	0	100	mV	0.1V	10	316.227766	mV	0.3V	20	1000	1V		0.1V	0.3V	1V
50	mV	6	99.76311575	mV	0.1V	16	315.4786722	mV	0.3V	26	997.6311575	1V		0.1V	0.3V	1V
20	mV	4	31.69786385	mV	0.3V	24	316.9786385	mV	0.3V	34	1002.374467	1V		0.3V	0.3V	1V
10	mV	0	10	mV	10mV	20	100	mV	0.1V	40	1000	1V		10mV	0.1V	1V
5	mV	6	9.976311575	mV	10mV	26	99.76311575	mV	0.1V	46	997.6311575	1V		10mV	0.1V	1V
2	mV	4	3.169786385	mV	3mV	34	100.2374467	mV	0.1V	54	1002.374467	1V		3mV	0.1V	1V
1	mV	10	3.16227766	mV	3mV	40	100	mV	0.1V	60	1000	1V		3mV	0.1V	1V
500	?V	16	3154.786722	?V	3mV	46	99763.11575	?V	0.1V	66	997631.1575	1V		3mV	0.1V	1V
200	?V	24	3169.786385	?V	3mV	54	100237.4467	?V	0.1V	74	1002374.467	1V		3mV	0.1V	1V
100	?V	30	3162.27766	?V	3mV	60	100000	?V	0.1V	80	1000000	1V		3mV	0.1V	1V
50	?V	36	3154.786722	?V	3mV	66	99763.11575	?V	0.1V	86	997631.1575	1V		3mV	0.1V	1V
20	?V	44	3169.786385	?V	3mV	74	100237.4467	?V	0.1V	94	1002374.467	1V		3mV	0.1V	1V
10	?V	50	3162.27766	?V	3mV	80	100000	?V	0.1V	100	1000000	1V		3mV	0.1V	1V
5	?V	56	3154.786722	?V	3mV	86	99763.11575	?V	0.1V	106	997631.1575	1V		3mV	0.1V	1V
2	?V	64	3169.786385	?V	3mV	94	100237.4467	?V	0.1V	114	1002374.467	1V		3mV	0.1V	1V
1	?V	70	3162.27766	?V	3mV	100	100000	?V	0.1V	120	1000000	1V		3mV	0.1V	1V
500	nV	76	3154786.722	nV	3mV	106	99763115.75	nV	0.1V	126	997631157.5	1V		3mV	0.1V	1V
200	nV	84	3169786.385	nV	3mV	114	100237446.7	nV	0.1V	134	1002374467	1V		3mV	0.1V	1V
100	nV	90	3162277.66	nV	3mV	120	100000000	nV	0.1V	140	1000000000	1V		3mV	0.1V	1V
50	nV	96	3154786.722	nV	3mV	126	99763115.75	nV	0.1V	146	997631157.5	1V		3mV	0.1V	1V
20	nV	104	3169786.385	nV	3mV	134	100237446.7	nV	0.1V	154	1002374467	1V		3mV	0.1V	1V
10	nV	110	3162277.66	nV	3mV	140	100000000	nV	0.1V	160	1000000000	1V		3mV	0.1V	1V
5	nV	116	3154786.722	nV	3mV	146	99763115.75	nV	0.1V	166	997631157.5	1V		3mV	0.1V	1V
2	nV	124	3169786.385	nV	3mV	154	100237446.7	nV	0.1V	174	1002374467	1V		3mV	0.1V	1V
3可以替换为3.1																
